city,state,lat,lon
albuquerque,nm,35.0844,-106.6504
atlanta,ga,33.7490,-84.3880
austin,tx,30.2672,-97.7431
baltimore,md,39.2904,-76.6122
boston,ma,42.3601,-71.0589
charlotte,nc,35.2271,-80.8431
chicago,il,41.8781,-87.6298
columbus,oh,39.9612,-82.9988
dallas,tx,32.7767,-96.7970
denver,co,39.7392,-104.9903
detroit,mi,42.3314,-83.0458
el paso,tx,31.7619,-106.4850
fresno,ca,36.7378,-119.7871
fort worth,tx,32.7555,-97.3308
houston,tx,29.7604,-95.3698
indianapolis,in,39.7684,-86.1581
jacksonville,fl,30.3322,-81.6557
kansas city,mo,39.0997,-94.5786
las vegas,nv,36.1699,-115.1398
long beach,ca,33.7701,-118.1937
los angeles,ca,34.0522,-118.2437
louisville,ky,38.2527,-85.7585
memphis,tn,35.1495,-90.0490
mesa,az,33.4152,-111.8315
miami,fl,25.7617,-80.1918
milwaukee,wi,43.0389,-87.9065
minneapolis,mn,44.9778,-93.2650
nashville,tn,36.1627,-86.7816
new orleans,la,29.9511,-90.0715
new york,ny,40.7128,-74.0060
oakland,ca,37.8044,-122.2711
oklahoma city,ok,35.4676,-97.5164
omaha,ne,41.2565,-95.9345
philadelphia,pa,39.9526,-75.1652
phoenix,az,33.4484,-112.0740
portland,or,45.5152,-122.6784
raleigh,nc,35.7796,-78.6382
sacramento,ca,38.5816,-121.4944
san antonio,tx,29.4241,-98.4936
san diego,ca,32.7157,-117.1611
san francisco,ca,37.7749,-122.4194
san jose,ca,37.3382,-121.8863
seattle,wa,47.6062,-122.3321
tucson,az,32.2226,-110.9747
tulsa,ok,36.1540,-95.9928
washington,dc,38.9072,-77.0369
wichita,ks,37.6872,-97.3301
long beach,ca,33.7701,-118.1937
